"","timp","frecventa","tip","Day_night"
"126",2002-11-16,100,"MYD11A1","Night"
"127",2002-11-17,0,"MYD11A1","Night"
"128",2002-11-18,100,"MYD11A1","Night"
"129",2002-11-19,57.2727272727273,"MYD11A1","Night"
"130",2002-11-20,100,"MYD11A1","Night"
"131",2002-11-21,0,"MYD11A1","Night"
"132",2002-11-22,0,"MYD11A1","Night"
"133",2002-11-23,100,"MYD11A1","Night"
"134",2002-11-24,100,"MYD11A1","Night"
"135",2002-11-25,100,"MYD11A1","Night"
"136",2002-11-26,90.9090909090909,"MYD11A1","Night"
"137",2002-11-27,100,"MYD11A1","Night"
"138",2002-11-28,77.2727272727273,"MYD11A1","Night"
"139",2002-11-29,100,"MYD11A1","Night"
"140",2002-11-30,95.4545454545455,"MYD11A1","Night"
"141",2002-12-01,100,"MYD11A1","Night"
"142",2002-12-02,92.7272727272727,"MYD11A1","Night"
"143",2002-12-03,82.7272727272727,"MYD11A1","Night"
"144",2002-12-04,100,"MYD11A1","Night"
"145",2002-12-05,88.1818181818182,"MYD11A1","Night"
"146",2002-12-06,100,"MYD11A1","Night"
"147",2002-12-07,100,"MYD11A1","Night"
"148",2002-12-08,100,"MYD11A1","Night"
"149",2002-12-09,0,"MYD11A1","Night"
"150",2002-12-10,8.18181818181818,"MYD11A1","Night"
"151",2002-12-11,100,"MYD11A1","Night"
"152",2002-12-12,14.5454545454545,"MYD11A1","Night"
"153",2002-12-13,100,"MYD11A1","Night"
"154",2002-12-14,90.9090909090909,"MYD11A1","Night"
"155",2002-12-15,100,"MYD11A1","Night"
"156",2002-12-16,100,"MYD11A1","Night"
"157",2002-12-17,100,"MYD11A1","Night"
"158",2002-12-18,86.3636363636364,"MYD11A1","Night"
"159",2002-12-19,100,"MYD11A1","Night"
"160",2002-12-20,100,"MYD11A1","Night"
"161",2002-12-21,0,"MYD11A1","Night"
"162",2002-12-22,0,"MYD11A1","Night"
"163",2002-12-23,72.7272727272727,"MYD11A1","Night"
"164",2002-12-24,45.4545454545455,"MYD11A1","Night"
"165",2002-12-25,76.3636363636364,"MYD11A1","Night"
"166",2002-12-26,92.7272727272727,"MYD11A1","Night"
"167",2002-12-27,100,"MYD11A1","Night"
"168",2002-12-28,64.5454545454545,"MYD11A1","Night"
"169",2002-12-29,100,"MYD11A1","Night"
"170",2002-12-30,60,"MYD11A1","Night"
"171",2002-12-31,90,"MYD11A1","Night"
"172",2003-01-01,87.2727272727273,"MYD11A1","Night"
"173",2003-01-02,0,"MYD11A1","Night"
"174",2003-01-03,62.7272727272727,"MYD11A1","Night"
"175",2003-01-04,100,"MYD11A1","Night"
"176",2003-01-05,100,"MYD11A1","Night"
"177",2003-01-06,53.6363636363636,"MYD11A1","Night"
"178",2003-01-07,91.8181818181818,"MYD11A1","Night"
"179",2003-01-08,70.9090909090909,"MYD11A1","Night"
"180",2003-01-09,85.4545454545455,"MYD11A1","Night"
"181",2003-01-10,71.8181818181818,"MYD11A1","Night"
"182",2003-01-11,54.5454545454545,"MYD11A1","Night"
"183",2003-01-12,100,"MYD11A1","Night"
"184",2003-01-13,100,"MYD11A1","Night"
