"","timp","frecventa","tip","Day_night"
"219",2000-10-15,0,"MOD11A1","Day"
"220",2000-10-16,0,"MOD11A1","Day"
"221",2000-10-17,0,"MOD11A1","Day"
"222",2000-10-18,100,"MOD11A1","Day"
"223",2000-10-19,100,"MOD11A1","Day"
"224",2000-10-20,100,"MOD11A1","Day"
"225",2000-10-21,100,"MOD11A1","Day"
"226",2000-10-22,100,"MOD11A1","Day"
"227",2000-10-23,0,"MOD11A1","Day"
"228",2000-10-24,0,"MOD11A1","Day"
"229",2000-10-25,0,"MOD11A1","Day"
"230",2000-10-26,100,"MOD11A1","Day"
"231",2000-10-27,100,"MOD11A1","Day"
"232",2000-10-28,40.9090909090909,"MOD11A1","Day"
"233",2000-10-29,0,"MOD11A1","Day"
"234",2000-10-30,15.1515151515152,"MOD11A1","Day"
"235",2000-10-31,0,"MOD11A1","Day"
"236",2000-11-01,100,"MOD11A1","Day"
"237",2000-11-02,100,"MOD11A1","Day"
"238",2000-11-03,100,"MOD11A1","Day"
"239",2000-11-04,100,"MOD11A1","Day"
"240",2000-11-05,81.8181818181818,"MOD11A1","Day"
"241",2000-11-06,100,"MOD11A1","Day"
"242",2000-11-07,100,"MOD11A1","Day"
"243",2000-11-08,100,"MOD11A1","Day"
"244",2000-11-09,100,"MOD11A1","Day"
"245",2000-11-10,93.9393939393939,"MOD11A1","Day"
"246",2000-11-11,0,"MOD11A1","Day"
"247",2000-11-12,0,"MOD11A1","Day"
"248",2000-11-13,4.54545454545455,"MOD11A1","Day"
"249",2000-11-14,0,"MOD11A1","Day"
"250",2000-11-15,100,"MOD11A1","Day"
"251",2000-11-16,13.6363636363636,"MOD11A1","Day"
"252",2000-11-17,86.3636363636364,"MOD11A1","Day"
"253",2000-11-18,100,"MOD11A1","Day"
"254",2000-11-19,100,"MOD11A1","Day"
"255",2000-11-20,100,"MOD11A1","Day"
"256",2000-11-21,100,"MOD11A1","Day"
"257",2000-11-22,100,"MOD11A1","Day"
"258",2000-11-23,100,"MOD11A1","Day"
"259",2000-11-24,100,"MOD11A1","Day"
"260",2000-11-25,100,"MOD11A1","Day"
"261",2000-11-26,100,"MOD11A1","Day"
"262",2000-11-27,100,"MOD11A1","Day"
"263",2000-11-28,100,"MOD11A1","Day"
"264",2000-11-29,100,"MOD11A1","Day"
"265",2000-11-30,100,"MOD11A1","Day"
"266",2000-12-01,100,"MOD11A1","Day"
"267",2000-12-02,100,"MOD11A1","Day"
"268",2000-12-03,100,"MOD11A1","Day"
"269",2000-12-04,100,"MOD11A1","Day"
"270",2000-12-05,100,"MOD11A1","Day"
"271",2000-12-06,100,"MOD11A1","Day"
"272",2000-12-07,86.3636363636364,"MOD11A1","Day"
"273",2000-12-08,100,"MOD11A1","Day"
"274",2000-12-09,100,"MOD11A1","Day"
"275",2000-12-10,100,"MOD11A1","Day"
"276",2000-12-11,100,"MOD11A1","Day"
"277",2000-12-12,100,"MOD11A1","Day"
"278",2000-12-13,100,"MOD11A1","Day"
"279",2000-12-14,100,"MOD11A1","Day"
"280",2000-12-15,100,"MOD11A1","Day"
"281",2000-12-16,100,"MOD11A1","Day"
"282",2000-12-17,0,"MOD11A1","Day"
"283",2000-12-18,0,"MOD11A1","Day"
"284",2000-12-19,66.6666666666667,"MOD11A1","Day"
"285",2000-12-20,100,"MOD11A1","Day"
"286",2000-12-21,100,"MOD11A1","Day"
"287",2000-12-22,100,"MOD11A1","Day"
"288",2000-12-23,0,"MOD11A1","Day"
"289",2000-12-24,0,"MOD11A1","Day"
"290",2000-12-25,0,"MOD11A1","Day"
"291",2000-12-26,100,"MOD11A1","Day"
"292",2000-12-27,21.2121212121212,"MOD11A1","Day"
"293",2000-12-28,39.3939393939394,"MOD11A1","Day"
"294",2000-12-29,100,"MOD11A1","Day"
"295",2000-12-30,100,"MOD11A1","Day"
"296",2000-12-31,45.4545454545455,"MOD11A1","Day"
"297",2001-01-01,100,"MOD11A1","Day"
"298",2001-01-02,100,"MOD11A1","Day"
"299",2001-01-03,100,"MOD11A1","Day"
"300",2001-01-04,95.4545454545455,"MOD11A1","Day"
"301",2001-01-05,100,"MOD11A1","Day"
"302",2001-01-06,100,"MOD11A1","Day"
"303",2001-01-07,60.6060606060606,"MOD11A1","Day"
"304",2001-01-08,0,"MOD11A1","Day"
"305",2001-01-09,100,"MOD11A1","Day"
"306",2001-01-10,3.03030303030303,"MOD11A1","Day"
"307",2001-01-11,100,"MOD11A1","Day"
"308",2001-01-12,0,"MOD11A1","Day"
"309",2001-01-13,100,"MOD11A1","Day"
"310",2001-01-14,7.57575757575758,"MOD11A1","Day"
"311",2001-01-15,3.03030303030303,"MOD11A1","Day"
"312",2001-01-16,100,"MOD11A1","Day"
"313",2001-01-17,100,"MOD11A1","Day"
"314",2001-01-18,100,"MOD11A1","Day"
"315",2001-01-19,100,"MOD11A1","Day"
"316",2001-01-20,100,"MOD11A1","Day"
"317",2001-01-21,100,"MOD11A1","Day"
"318",2001-01-22,80.3030303030303,"MOD11A1","Day"
"319",2001-01-23,100,"MOD11A1","Day"
"320",2001-01-24,43.9393939393939,"MOD11A1","Day"
"321",2001-01-25,100,"MOD11A1","Day"
"322",2001-01-26,100,"MOD11A1","Day"
"323",2001-01-27,100,"MOD11A1","Day"
"324",2001-01-28,100,"MOD11A1","Day"
"325",2001-01-29,0,"MOD11A1","Day"
"326",2001-01-30,100,"MOD11A1","Day"
"327",2001-01-31,100,"MOD11A1","Day"
"328",2001-02-01,100,"MOD11A1","Day"
"329",2001-02-02,100,"MOD11A1","Day"
"330",2001-02-03,12.1212121212121,"MOD11A1","Day"
"331",2001-02-04,100,"MOD11A1","Day"
"332",2001-02-05,100,"MOD11A1","Day"
"333",2001-02-06,83.3333333333333,"MOD11A1","Day"
"334",2001-02-07,100,"MOD11A1","Day"
"335",2001-02-08,31.8181818181818,"MOD11A1","Day"
"336",2001-02-09,1.51515151515152,"MOD11A1","Day"
"337",2001-02-10,78.7878787878788,"MOD11A1","Day"
"338",2001-02-11,100,"MOD11A1","Day"
"339",2001-02-12,100,"MOD11A1","Day"
"340",2001-02-13,100,"MOD11A1","Day"
"341",2001-02-14,100,"MOD11A1","Day"
"342",2001-02-15,36.3636363636364,"MOD11A1","Day"
"343",2001-02-16,0,"MOD11A1","Day"
"344",2001-02-17,87.8787878787879,"MOD11A1","Day"
"345",2001-02-18,83.3333333333333,"MOD11A1","Day"
"346",2001-02-19,100,"MOD11A1","Day"
"347",2001-02-20,98.4848484848485,"MOD11A1","Day"
