"","timp","frecventa","tip","Day_night"
"82",2000-05-17,9.09090909090909,"MOD11A1","Night"
"83",2000-05-18,0,"MOD11A1","Night"
"84",2000-05-19,0,"MOD11A1","Night"
"85",2000-05-20,100,"MOD11A1","Night"
"86",2000-05-21,0,"MOD11A1","Night"
"87",2000-05-22,100,"MOD11A1","Night"
"88",2000-05-23,93.9393939393939,"MOD11A1","Night"
"89",2000-05-24,100,"MOD11A1","Night"
"90",2000-05-25,0,"MOD11A1","Night"
"91",2000-05-26,0,"MOD11A1","Night"
"92",2000-05-27,0,"MOD11A1","Night"
"93",2000-05-28,0,"MOD11A1","Night"
"94",2000-05-29,12.1212121212121,"MOD11A1","Night"
"95",2000-05-30,100,"MOD11A1","Night"
"96",2000-05-31,100,"MOD11A1","Night"
"97",2000-06-01,43.9393939393939,"MOD11A1","Night"
"98",2000-06-02,0,"MOD11A1","Night"
"99",2000-06-03,0,"MOD11A1","Night"
"100",2000-06-04,0,"MOD11A1","Night"
"101",2000-06-05,0,"MOD11A1","Night"
"102",2000-06-06,0,"MOD11A1","Night"
"103",2000-06-07,100,"MOD11A1","Night"
"104",2000-06-08,93.9393939393939,"MOD11A1","Night"
"105",2000-06-09,100,"MOD11A1","Night"
"106",2000-06-10,0,"MOD11A1","Night"
"107",2000-06-11,0,"MOD11A1","Night"
"108",2000-06-12,4.54545454545455,"MOD11A1","Night"
"109",2000-06-13,6.06060606060606,"MOD11A1","Night"
"110",2000-06-14,100,"MOD11A1","Night"
"111",2000-06-15,100,"MOD11A1","Night"
"112",2000-06-16,100,"MOD11A1","Night"
"113",2000-06-17,56.0606060606061,"MOD11A1","Night"
"114",2000-06-18,62.1212121212121,"MOD11A1","Night"
"115",2000-06-19,100,"MOD11A1","Night"
"116",2000-06-20,100,"MOD11A1","Night"
"117",2000-06-21,100,"MOD11A1","Night"
"118",2000-06-22,84.8484848484848,"MOD11A1","Night"
"119",2000-06-23,3.03030303030303,"MOD11A1","Night"
"120",2000-06-24,100,"MOD11A1","Night"
"121",2000-06-25,100,"MOD11A1","Night"
"122",2000-06-26,100,"MOD11A1","Night"
"123",2000-06-28,0,"MOD11A1","Night"
"124",2000-06-29,100,"MOD11A1","Night"
"125",2000-06-30,9.09090909090909,"MOD11A1","Night"
"126",2000-07-01,40.9090909090909,"MOD11A1","Night"
"127",2000-07-02,100,"MOD11A1","Night"
"128",2000-07-03,83.3333333333333,"MOD11A1","Night"
"129",2000-07-04,43.9393939393939,"MOD11A1","Night"
"130",2000-07-05,21.2121212121212,"MOD11A1","Night"
"131",2000-07-06,100,"MOD11A1","Night"
"132",2000-07-07,100,"MOD11A1","Night"
"133",2000-07-08,100,"MOD11A1","Night"
"134",2000-07-09,100,"MOD11A1","Night"
"135",2000-07-10,0,"MOD11A1","Night"
"136",2000-07-11,0,"MOD11A1","Night"
"137",2000-07-12,100,"MOD11A1","Night"
"138",2000-07-13,100,"MOD11A1","Night"
"139",2000-07-14,0,"MOD11A1","Night"
"140",2000-07-15,100,"MOD11A1","Night"
"141",2000-07-16,0,"MOD11A1","Night"
"142",2000-07-17,100,"MOD11A1","Night"
"143",2000-07-18,100,"MOD11A1","Night"
"144",2000-07-19,100,"MOD11A1","Night"
"145",2000-07-20,100,"MOD11A1","Night"
"146",2000-07-21,0,"MOD11A1","Night"
"147",2000-07-22,0,"MOD11A1","Night"
"148",2000-07-23,100,"MOD11A1","Night"
"149",2000-07-24,100,"MOD11A1","Night"
"150",2000-07-25,0,"MOD11A1","Night"
"151",2000-07-26,100,"MOD11A1","Night"
"152",2000-07-27,90.9090909090909,"MOD11A1","Night"
"153",2000-07-28,59.0909090909091,"MOD11A1","Night"
"154",2000-07-29,9.09090909090909,"MOD11A1","Night"
"155",2000-07-30,100,"MOD11A1","Night"
"156",2000-07-31,0,"MOD11A1","Night"
"157",2000-08-01,80.3030303030303,"MOD11A1","Night"
"158",2000-08-02,0,"MOD11A1","Night"
"159",2000-08-03,0,"MOD11A1","Night"
"160",2000-08-04,0,"MOD11A1","Night"
"161",2000-08-05,0,"MOD11A1","Night"
"162",2000-08-19,0,"MOD11A1","Night"
"163",2000-08-20,0,"MOD11A1","Night"
"164",2000-08-21,0,"MOD11A1","Night"
