data;scen_anom_mean;scen_anom_max;scen_anom_min;scen_param_mean;scen_param_max;scen_param_min;obs_mean;obs_anom;symb;scen
1971-01-01;-0.5;0.3;-1.4;9;9.8;8.1;9.4;-0.2;neg;RCP4.5
1972-01-01;0.7;1.9;-0.9;10.2;11.4;8.6;9.3;-0.3;neg;RCP4.5
1973-01-01;-0.1;1.8;-1.1;9.5;11.3;8.4;9.1;-0.5;neg;RCP4.5
1974-01-01;-0.1;1.2;-1.2;9.5;10.8;8.3;9.6;0;neg;RCP4.5
1975-01-01;-0.9;0.1;-2.6;8.6;9.6;7;10.5;0.9;pos;RCP4.5
1976-01-01;-0.8;0.3;-2;8.7;9.8;7.5;8.2;-1.4;neg;RCP4.5
1977-01-01;0.1;1.4;-1.6;9.6;10.9;8;9.4;-0.2;neg;RCP4.5
1978-01-01;-0.2;1;-1.7;9.3;10.5;7.8;8.8;-0.8;neg;RCP4.5
1979-01-01;0.5;1.7;-0.4;10;11.2;9.1;9.8;0.2;pos;RCP4.5
1980-01-01;0.4;2.2;-1.2;9.9;11.7;8.3;8.2;-1.4;neg;RCP4.5
1981-01-01;0;2.2;-1.3;9.6;11.7;8.2;9.5;-0.1;neg;RCP4.5
1982-01-01;-0.1;1.2;-1.3;9.4;10.7;8.3;9.7;0.1;pos;RCP4.5
1983-01-01;0.3;1.9;-1.1;9.8;11.4;8.4;10.3;0.7;pos;RCP4.5
1984-01-01;-0.3;0.6;-1.5;9.3;10.1;8;9.1;-0.5;neg;RCP4.5
1985-01-01;-0.2;1.1;-1.5;9.3;10.6;8;8;-1.6;neg;RCP4.5
1986-01-01;-0.5;0.6;-1.6;9;10.1;7.9;9.6;0;neg;RCP4.5
1987-01-01;-0.4;0.7;-3.1;9.1;10.3;6.4;8.3;-1.3;neg;RCP4.5
1988-01-01;-0.4;1.8;-1.5;9.2;11.3;8;9.1;-0.5;neg;RCP4.5
1989-01-01;-0.1;2;-2.4;9.4;11.5;7.1;10.9;1.3;pos;RCP4.5
1990-01-01;-0.2;1.6;-1.6;9.3;11.1;7.9;11.2;1.6;pos;RCP4.5
1991-01-01;0.3;1.1;-1.6;9.8;10.7;7.9;9.3;-0.3;neg;RCP4.5
1992-01-01;0.3;2.1;-1;9.8;11.6;8.5;10;0.4;pos;RCP4.5
1993-01-01;0.6;2.1;-0.8;10.1;11.6;8.7;9.2;-0.4;neg;RCP4.5
1994-01-01;0;1.2;-0.9;9.6;10.7;8.6;11.1;1.5;pos;RCP4.5
1995-01-01;0.1;1.3;-1.9;9.6;10.8;7.6;9.6;0;neg;RCP4.5
1996-01-01;0;1.6;-0.8;9.5;11.1;8.8;8.6;-1;neg;RCP4.5
1997-01-01;0.2;1.6;-1.4;9.7;11.1;8.2;9.1;-0.5;neg;RCP4.5
1998-01-01;0.6;1.8;-0.4;10.1;11.4;9.1;9.8;0.2;pos;RCP4.5
1999-01-01;0.4;1.6;-0.8;10;11.1;8.7;10.7;1.1;pos;RCP4.5
2000-01-01;0.6;1.7;-1.3;10.2;11.3;8.2;11.2;1.6;pos;RCP4.5
2001-01-01;0.8;1.6;-0.1;10.3;11.1;9.4;NA;0.8;pos;RCP4.5
2002-01-01;0.6;1.3;-0.1;10.1;10.8;9.5;NA;0.6;pos;RCP4.5
2003-01-01;0.5;2.3;-1;10;11.8;8.5;NA;0.5;pos;RCP4.5
2004-01-01;0.6;1.4;-0.3;10.1;10.9;9.2;NA;0.6;pos;RCP4.5
2005-01-01;0.8;2;-3;10.3;11.5;6.6;NA;0.8;pos;RCP4.5
2006-01-01;1.2;3;-0.5;10.8;12.5;9;NA;1.2;pos;RCP4.5
2007-01-01;0.1;1.5;-1.5;9.6;11;8.1;NA;-0.1;neg;RCP4.5
