data;scen_anom_mean;scen_anom_max;scen_anom_min;scen_param_mean;scen_param_max;scen_param_min;obs_mean;obs_anom;symb;scen
1971-01-01;-0.6;0.7;-1.6;14.1;15.3;13;14.6;-0.1;neg;RCP4.5
1972-01-01;1;2.4;-0.7;15.7;17.1;13.9;14.3;-0.4;neg;RCP4.5
1973-01-01;0;1.9;-1.1;14.6;16.6;13.5;14.8;0.1;pos;RCP4.5
1974-01-01;-0.1;1.1;-1.3;14.6;15.8;13.3;14.8;0.1;pos;RCP4.5
1975-01-01;-1;0.2;-3.1;13.7;14.9;11.6;15.9;1.2;pos;RCP4.5
1976-01-01;-0.9;0.2;-2.1;13.8;14.9;12.6;13.1;-1.6;neg;RCP4.5
1977-01-01;0.1;1.8;-1.7;14.8;16.4;13;14.7;0;neg;RCP4.5
1978-01-01;-0.3;1;-1.6;14.4;15.7;13;13.6;-1.1;neg;RCP4.5
1979-01-01;0.6;1.9;-0.3;15.3;16.5;14.4;14.9;0.2;pos;RCP4.5
1980-01-01;0.4;2.6;-1.2;15.1;17.2;13.5;12.9;-1.8;neg;RCP4.5
1981-01-01;0.1;2.9;-1.8;14.8;17.5;12.9;14.5;-0.2;neg;RCP4.5
1982-01-01;0;1.5;-1.1;14.7;16.2;13.6;15;0.3;pos;RCP4.5
1983-01-01;0.4;2.4;-1.3;15.1;17;13.4;16.2;1.5;pos;RCP4.5
1984-01-01;-0.2;0.6;-2;14.4;15.3;12.7;14;-0.7;neg;RCP4.5
1985-01-01;-0.3;1.4;-1.6;14.4;16.1;13.1;13.1;-1.6;neg;RCP4.5
1986-01-01;-0.6;0.8;-1.8;14.1;15.5;12.8;15;0.3;pos;RCP4.5
1987-01-01;-0.5;1;-3;14.2;15.7;11.6;13.4;-1.3;neg;RCP4.5
1988-01-01;-0.4;2.1;-1.7;14.2;16.8;13;14;-0.7;neg;RCP4.5
1989-01-01;-0.2;2.3;-2.9;14.4;16.9;11.8;16.2;1.5;pos;RCP4.5
1990-01-01;-0.2;2;-1.8;14.5;16.6;12.8;16.8;2.1;pos;RCP4.5
1991-01-01;0.3;1.2;-1.9;14.9;15.9;12.7;13.8;-0.9;neg;RCP4.5
1992-01-01;0.5;2.7;-0.9;15.1;17.4;13.7;15.1;0.4;pos;RCP4.5
1993-01-01;0.5;2.3;-1.1;15.2;17;13.5;14.4;-0.3;neg;RCP4.5
1994-01-01;0;1.5;-1.2;14.6;16.2;13.5;16.6;1.9;pos;RCP4.5
1995-01-01;0;1.6;-2.8;14.7;16.2;11.9;14.7;0;neg;RCP4.5
1996-01-01;-0.1;1.7;-1.1;14.6;16.3;13.6;13.1;-1.6;neg;RCP4.5
1997-01-01;0.2;1.8;-1.4;14.9;16.4;13.3;14;-0.7;neg;RCP4.5
1998-01-01;0.5;2.1;-0.6;15.2;16.7;14;14.7;0;neg;RCP4.5
1999-01-01;0.4;1.8;-1.2;15.1;16.5;13.4;15.8;1.1;pos;RCP4.5
